scope,height_m,nmse,mean_error_norm,mean_error_encoded,mae_norm,rmse_norm,mae_encoded,rmse_encoded,psnr_db,ssim,eval_rx_count,strategy,round,sampled_rx_count,sampled_ratio,new_budget_rx_count,eval_scope
overall,,0.0009395139382995743,-0.019321338433815193,-4.926941300622874,0.019321338433815193,0.019890603433236117,4.926941300622874,5.07210387547521,34.02704082444005,0.9803718691540391,3563,proposed,4,533,0.130126953125,82,unmeasured_rx
overall,,0.0009275240980982936,-0.019178202682375668,-4.890441684005795,0.019178202682375668,0.01976994344029426,4.890441684005795,5.041335577275037,34.07989146309756,0.9799345262269237,3481,proposed,5,615,0.150146484375,82,unmeasured_rx
overall,,0.0009637234514571249,-0.01952309911461239,-4.97839027422616,0.01952309911461239,0.02013090816513518,4.97839027422616,5.133381582109471,33.92273264707519,0.976977233015187,3891,proposed_v2_a,0,205,0.050048828125,0,unmeasured_rx
overall,,0.0009416756098622116,-0.019277230261128916,-4.915693716587874,0.019277602629762962,0.019901487740904514,4.9157886705895555,5.074879373930651,34.02228913159041,0.9778879027269847,3809,proposed_v2_a,1,287,0.070068359375,82,unmeasured_rx
overall,,0.0008973841099704658,-0.018823774899814606,-4.800062599452724,0.018824120405246784,0.019429760379817033,4.80015070333793,4.954588896853343,34.23065110726829,0.9793992253605032,3727,proposed_v2_a,2,369,0.090087890625,82,unmeasured_rx
overall,,0.0009077627832193461,-0.018926036783043085,-4.826139379675987,0.018926131659901518,0.019543422749431705,4.826163573274887,4.983572801105085,34.179987470466074,0.9787653296089189,3645,proposed_v2_a,3,451,0.110107421875,82,unmeasured_rx
overall,,0.0008756038117185288,-0.018588787680290538,-4.740140858474088,0.018588865134544063,0.019196460151691557,4.740160609308736,4.895097338681347,34.33557696584744,0.9793961965203412,3563,proposed_v2_a,4,533,0.130126953125,82,unmeasured_rx
overall,,0.0008420542937908877,-0.01817929528972535,-4.635720298879964,0.018179491757319186,0.018825866476451743,4.635770398116392,4.800595951495194,34.50490051791665,0.978308516991442,3481,proposed_v2_a,5,615,0.150146484375,82,unmeasured_rx
overall,,0.0009637234514571249,-0.01952309911461239,-4.97839027422616,0.01952309911461239,0.02013090816513518,4.97839027422616,5.133381582109471,33.92273264707519,0.976977233015187,3891,proposed_v2_b,0,205,0.050048828125,0,unmeasured_rx
overall,,0.0009669560933326248,-0.019575878136675638,-4.991848924852287,0.019575923736028452,0.020166759684025967,4.991860552687255,5.142523719426622,33.907277538369286,0.9784775726314887,3809,proposed_v2_b,1,287,0.070068359375,82,unmeasured_rx
overall,,0.000881288296710622,-0.018649039365729026,-4.755505038260901,0.018650575140893442,0.019254202412142183,4.755896660927828,4.909821615096257,34.30948933846695,0.9795476480992046,3727,proposed_v2_b,2,369,0.090087890625,82,unmeasured_rx
overall,,0.0008607464079581213,-0.018393042941152314,-4.69022594999384,0.018393924141453456,0.01902948712018997,4.690450656070631,4.852519215648442,34.41145833186651,0.9784416767914544,3645,proposed_v2_b,3,451,0.110107421875,82,unmeasured_rx
overall,,0.0008708074705157916,-0.018513602401445395,-4.7209686123685755,0.01851518845712071,0.019141210294675498,4.721373056565781,4.881008625142252,34.360612106856294,0.9786333932279143,3563,proposed_v2_b,4,533,0.130126953125,82,unmeasured_rx
overall,,0.0008704054253193427,-0.018509597656405613,-4.719947402383431,0.018509704434505246,0.01913812804625362,4.719974630798838,4.880222651794673,34.362010880756145,0.9785914626202156,3481,proposed_v2_b,5,615,0.150146484375,82,unmeasured_rx
